"participant","candidate","names","Data","Language","Social","Experience","crit","rating","model_pred"
"BoJack",1,"Joana",0,0,0,0,0,0,NA
"BoJack",2,"Filipa",1,0,0,0,4,2,NA
"BoJack",3,"Simone",0,1,0,0,3,1,NA
"BoJack",4,"Ulrike",1,1,0,0,7,4,NA
"BoJack",5,"Ute",0,0,1,0,2,1,NA
"BoJack",6,"Rita",1,0,1,0,6,6,NA
"BoJack",7,"Bettina",0,1,1,0,5,3,NA
"BoJack",8,"Guilia",1,1,1,0,9,8,NA
"BoJack",9,"Fernande",0,0,0,1,1,2,NA
"BoJack",10,"Maria",1,0,0,1,5,6,NA
"BoJack",11,"Bela",0,1,0,1,4,4,NA
"BoJack",12,"Salome",1,1,0,1,8,9,NA
"BoJack",13,"Manuela",0,0,1,1,3,2,NA
"BoJack",14,"Dominque",1,0,1,1,7,9,NA
"BoJack",15,"Jule",0,1,1,1,6,7,NA
"BoJack",16,"Tina",1,1,1,1,10,10,NA
"banane",1,"Joana",0,0,0,0,0,1,NA
"banane",2,"Filipa",1,0,0,0,4,2,NA
"banane",3,"Simone",0,1,0,0,3,2,NA
"banane",4,"Ulrike",1,1,0,0,7,5,NA
"banane",5,"Ute",0,0,1,0,2,2,NA
"banane",6,"Rita",1,0,1,0,6,7,NA
"banane",7,"Bettina",0,1,1,0,5,3,NA
"banane",8,"Guilia",1,1,1,0,9,9,NA
"banane",9,"Fernande",0,0,0,1,1,2,NA
"banane",10,"Maria",1,0,0,1,5,5,NA
"banane",11,"Bela",0,1,0,1,4,3,NA
"banane",12,"Salome",1,1,0,1,8,6,NA
"banane",13,"Manuela",0,0,1,1,3,3,NA
"banane",14,"Dominque",1,0,1,1,7,8,NA
"banane",15,"Jule",0,1,1,1,6,8,NA
"banane",16,"Tina",1,1,1,1,10,10,NA
"JannikEichin",1,"Joana",0,0,0,0,0,0,NA
"JannikEichin",2,"Filipa",1,0,0,0,4,4,NA
"JannikEichin",3,"Simone",0,1,0,0,3,3,NA
"JannikEichin",4,"Ulrike",1,1,0,0,7,7,NA
"JannikEichin",5,"Ute",0,0,1,0,2,2,NA
"JannikEichin",6,"Rita",1,0,1,0,6,6,NA
"JannikEichin",7,"Bettina",0,1,1,0,5,5,NA
"JannikEichin",8,"Guilia",1,1,1,0,9,9,NA
"JannikEichin",9,"Fernande",0,0,0,1,1,1,NA
"JannikEichin",10,"Maria",1,0,0,1,5,5,NA
"JannikEichin",11,"Bela",0,1,0,1,4,4,NA
"JannikEichin",12,"Salome",1,1,0,1,8,8,NA
"JannikEichin",13,"Manuela",0,0,1,1,3,3,NA
"JannikEichin",14,"Dominque",1,0,1,1,7,7,NA
"JannikEichin",15,"Jule",0,1,1,1,6,6,NA
"JannikEichin",16,"Tina",1,1,1,1,10,10,NA
"ebdm2020",1,"Joana",0,0,0,0,0,0,NA
"ebdm2020",2,"Filipa",1,0,0,0,4,4,NA
"ebdm2020",3,"Simone",0,1,0,0,3,2,NA
"ebdm2020",4,"Ulrike",1,1,0,0,7,5,NA
"ebdm2020",5,"Ute",0,0,1,0,2,2,NA
"ebdm2020",6,"Rita",1,0,1,0,6,6,NA
"ebdm2020",7,"Bettina",0,1,1,0,5,4,NA
"ebdm2020",8,"Guilia",1,1,1,0,9,7,NA
"ebdm2020",9,"Fernande",0,0,0,1,1,1,NA
"ebdm2020",10,"Maria",1,0,0,1,5,5,NA
"ebdm2020",11,"Bela",0,1,0,1,4,4,NA
"ebdm2020",12,"Salome",1,1,0,1,8,6,NA
"ebdm2020",13,"Manuela",0,0,1,1,3,4,NA
"ebdm2020",14,"Dominque",1,0,1,1,7,9,NA
"ebdm2020",15,"Jule",0,1,1,1,6,8,NA
"ebdm2020",16,"Tina",1,1,1,1,10,10,NA
"VMM",1,"Joana",0,0,0,0,0,1,NA
"VMM",2,"Filipa",1,0,0,0,4,6,NA
"VMM",3,"Simone",0,1,0,0,3,2,NA
"VMM",4,"Ulrike",1,1,0,0,7,5,NA
"VMM",5,"Ute",0,0,1,0,2,1,NA
"VMM",6,"Rita",1,0,1,0,6,4,NA
"VMM",7,"Bettina",0,1,1,0,5,8,NA
"VMM",8,"Guilia",1,1,1,0,9,9,NA
"VMM",9,"Fernande",0,0,0,1,1,4,NA
"VMM",10,"Maria",1,0,0,1,5,8,NA
"VMM",11,"Bela",0,1,0,1,4,4,NA
"VMM",12,"Salome",1,1,0,1,8,9,NA
"VMM",13,"Manuela",0,0,1,1,3,7,NA
"VMM",14,"Dominque",1,0,1,1,7,9,NA
"VMM",15,"Jule",0,1,1,1,6,8,NA
"VMM",16,"Tina",1,1,1,1,10,10,NA
"19970414",1,"Joana",0,0,0,0,0,0,NA
"19970414",2,"Filipa",1,0,0,0,4,4,NA
"19970414",3,"Simone",0,1,0,0,3,3,NA
"19970414",4,"Ulrike",1,1,0,0,7,7,NA
"19970414",5,"Ute",0,0,1,0,2,2,NA
"19970414",6,"Rita",1,0,1,0,6,6,NA
"19970414",7,"Bettina",0,1,1,0,5,5,NA
"19970414",8,"Guilia",1,1,1,0,9,9,NA
"19970414",9,"Fernande",0,0,0,1,1,1,NA
"19970414",10,"Maria",1,0,0,1,5,5,NA
"19970414",11,"Bela",0,1,0,1,4,4,NA
"19970414",12,"Salome",1,1,0,1,8,8,NA
"19970414",13,"Manuela",0,0,1,1,3,3,NA
"19970414",14,"Dominque",1,0,1,1,7,7,NA
"19970414",15,"Jule",0,1,1,1,6,6,NA
"19970414",16,"Tina",1,1,1,1,10,10,NA
"UB2020",1,"Joana",0,0,0,0,0,0,NA
"UB2020",2,"Filipa",1,0,0,0,4,4,NA
"UB2020",3,"Simone",0,1,0,0,3,3,NA
"UB2020",4,"Ulrike",1,1,0,0,7,5,NA
"UB2020",5,"Ute",0,0,1,0,2,2,NA
"UB2020",6,"Rita",1,0,1,0,6,6,NA
"UB2020",7,"Bettina",0,1,1,0,5,5,NA
"UB2020",8,"Guilia",1,1,1,0,9,9,NA
"UB2020",9,"Fernande",0,0,0,1,1,1,NA
"UB2020",10,"Maria",1,0,0,1,5,5,NA
"UB2020",11,"Bela",0,1,0,1,4,3,NA
"UB2020",12,"Salome",1,1,0,1,8,8,NA
"UB2020",13,"Manuela",0,0,1,1,3,3,NA
"UB2020",14,"Dominque",1,0,1,1,7,7,NA
"UB2020",15,"Jule",0,1,1,1,6,6,NA
"UB2020",16,"Tina",1,1,1,1,10,10,NA
"Ara_Tak1",1,"Joana",0,0,0,0,0,4,NA
"Ara_Tak1",2,"Filipa",1,0,0,0,4,4,NA
"Ara_Tak1",3,"Simone",0,1,0,0,3,3,NA
"Ara_Tak1",4,"Ulrike",1,1,0,0,7,7,NA
"Ara_Tak1",5,"Ute",0,0,1,0,2,5,NA
"Ara_Tak1",6,"Rita",1,0,1,0,6,6,NA
"Ara_Tak1",7,"Bettina",0,1,1,0,5,3,NA
"Ara_Tak1",8,"Guilia",1,1,1,0,9,9,NA
"Ara_Tak1",9,"Fernande",0,0,0,1,1,6,NA
"Ara_Tak1",10,"Maria",1,0,0,1,5,5,NA
"Ara_Tak1",11,"Bela",0,1,0,1,4,4,NA
"Ara_Tak1",12,"Salome",1,1,0,1,8,8,NA
"Ara_Tak1",13,"Manuela",0,0,1,1,3,3,NA
"Ara_Tak1",14,"Dominque",1,0,1,1,7,7,NA
"Ara_Tak1",15,"Jule",0,1,1,1,6,6,NA
"Ara_Tak1",16,"Tina",1,1,1,1,10,10,NA
"BVOA",1,"Joana",0,0,0,0,0,1,NA
"BVOA",2,"Filipa",1,0,0,0,4,2,NA
"BVOA",3,"Simone",0,1,0,0,3,1,NA
"BVOA",4,"Ulrike",1,1,0,0,7,6,NA
"BVOA",5,"Ute",0,0,1,0,2,2,NA
"BVOA",6,"Rita",1,0,1,0,6,7,NA
"BVOA",7,"Bettina",0,1,1,0,5,4,NA
"BVOA",8,"Guilia",1,1,1,0,9,8,NA
"BVOA",9,"Fernande",0,0,0,1,1,1,NA
"BVOA",10,"Maria",1,0,0,1,5,6,NA
"BVOA",11,"Bela",0,1,0,1,4,4,NA
"BVOA",12,"Salome",1,1,0,1,8,8,NA
"BVOA",13,"Manuela",0,0,1,1,3,4,NA
"BVOA",14,"Dominque",1,0,1,1,7,7,NA
"BVOA",15,"Jule",0,1,1,1,6,6,NA
"BVOA",16,"Tina",1,1,1,1,10,10,NA
"Tuesday",1,"Joana",0,0,0,0,0,1,NA
"Tuesday",2,"Filipa",1,0,0,0,4,5,NA
"Tuesday",3,"Simone",0,1,0,0,3,3,NA
"Tuesday",4,"Ulrike",1,1,0,0,7,6,NA
"Tuesday",5,"Ute",0,0,1,0,2,1,NA
"Tuesday",6,"Rita",1,0,1,0,6,6,NA
"Tuesday",7,"Bettina",0,1,1,0,5,2,NA
"Tuesday",8,"Guilia",1,1,1,0,9,9,NA
"Tuesday",9,"Fernande",0,0,0,1,1,2,NA
"Tuesday",10,"Maria",1,0,0,1,5,7,NA
"Tuesday",11,"Bela",0,1,0,1,4,2,NA
"Tuesday",12,"Salome",1,1,0,1,8,8,NA
"Tuesday",13,"Manuela",0,0,1,1,3,4,NA
"Tuesday",14,"Dominque",1,0,1,1,7,8,NA
"Tuesday",15,"Jule",0,1,1,1,6,8,NA
"Tuesday",16,"Tina",1,1,1,1,10,10,NA
"AKBR70",1,"Joana",0,0,0,0,0,2,NA
"AKBR70",2,"Filipa",1,0,0,0,4,4,NA
"AKBR70",3,"Simone",0,1,0,0,3,3,NA
"AKBR70",4,"Ulrike",1,1,0,0,7,6,NA
"AKBR70",5,"Ute",0,0,1,0,2,2,NA
"AKBR70",6,"Rita",1,0,1,0,6,6,NA
"AKBR70",7,"Bettina",0,1,1,0,5,3,NA
"AKBR70",8,"Guilia",1,1,1,0,9,9,NA
"AKBR70",9,"Fernande",0,0,0,1,1,3,NA
"AKBR70",10,"Maria",1,0,0,1,5,7,NA
"AKBR70",11,"Bela",0,1,0,1,4,4,NA
"AKBR70",12,"Salome",1,1,0,1,8,8,NA
"AKBR70",13,"Manuela",0,0,1,1,3,5,NA
"AKBR70",14,"Dominque",1,0,1,1,7,6,NA
"AKBR70",15,"Jule",0,1,1,1,6,6,NA
"AKBR70",16,"Tina",1,1,1,1,10,10,NA
"MANK",1,"Joana",0,0,0,0,0,0,NA
"MANK",2,"Filipa",1,0,0,0,4,4,NA
"MANK",3,"Simone",0,1,0,0,3,3,NA
"MANK",4,"Ulrike",1,1,0,0,7,7,NA
"MANK",5,"Ute",0,0,1,0,2,2,NA
"MANK",6,"Rita",1,0,1,0,6,6,NA
"MANK",7,"Bettina",0,1,1,0,5,5,NA
"MANK",8,"Guilia",1,1,1,0,9,9,NA
"MANK",9,"Fernande",0,0,0,1,1,1,NA
"MANK",10,"Maria",1,0,0,1,5,5,NA
"MANK",11,"Bela",0,1,0,1,4,4,NA
"MANK",12,"Salome",1,1,0,1,8,8,NA
"MANK",13,"Manuela",0,0,1,1,3,3,NA
"MANK",14,"Dominque",1,0,1,1,7,7,NA
"MANK",15,"Jule",0,1,1,1,6,6,NA
"MANK",16,"Tina",1,1,1,1,10,10,NA
"mycode",1,"Joana",0,0,0,0,0,0,NA
"mycode",2,"Filipa",1,0,0,0,4,4,NA
